START,END,FACILITY,TESTED,POSITIVE,NEGATIVE,PENDING,DECEASED,RECOVERED
2020-10-02,2020-10-06,DOCCS,1407,12,1165,230,0,0
2020-10-02,2020-10-06,ADIRONDACK,0,0,0,0,0,0
2020-10-02,2020-10-06,ALBION,0,0,0,0,0,0
2020-10-02,2020-10-06,ALTONA,109,0,142,-33,0,0
2020-10-02,2020-10-06,ATTICA,0,0,1,-1,0,0
2020-10-02,2020-10-06,AUBURN,2,0,1,1,0,0
2020-10-02,2020-10-06,BARE HILL,0,0,0,0,0,0
2020-10-02,2020-10-06,BEDFORD HILL,0,0,0,0,0,0
2020-10-02,2020-10-06,CAPE VINCENT,222,0,152,70,0,0
2020-10-02,2020-10-06,CAYUGA,1,0,0,1,0,0
2020-10-02,2020-10-06,CLINTON,209,0,57,152,0,0
2020-10-02,2020-10-06,COLLINS,0,0,0,0,0,0
2020-10-02,2020-10-06,COXSACKIE,0,0,0,0,0,0
2020-10-02,2020-10-06,DOWNSTATE,0,0,0,0,0,0
2020-10-02,2020-10-06,EASTERN,0,0,0,0,0,0
2020-10-02,2020-10-06,EDGECOMBE,0,0,0,0,0,0
2020-10-02,2020-10-06,ELMIRA,3,2,0,1,0,0
2020-10-02,2020-10-06,FISHKILL,0,0,0,0,0,0
2020-10-02,2020-10-06,FIVE POINTS,0,0,0,0,0,0
2020-10-02,2020-10-06,FRANKLIN,0,0,1,-1,0,0
2020-10-02,2020-10-06,GOUVERNEUR,286,0,310,-24,0,0
2020-10-02,2020-10-06,GOWANDA,0,0,0,0,0,0
2020-10-02,2020-10-06,GREAT MEADOW,0,0,0,0,0,0
2020-10-02,2020-10-06,GREEN HAVEN,0,0,-1,1,0,0
2020-10-02,2020-10-06,GREENE,84,10,2,72,0,0
2020-10-02,2020-10-06,GROVELAND,1,0,1,0,0,0
2020-10-02,2020-10-06,HALE CREEK,0,0,0,0,0,0
2020-10-02,2020-10-06,HUDSON,0,0,0,0,0,0
2020-10-02,2020-10-06,LAKEVIEW,0,0,0,0,0,0
2020-10-02,2020-10-06,MARCY,1,0,0,1,0,0
2020-10-02,2020-10-06,MIDSTATE,1,0,0,1,0,0
2020-10-02,2020-10-06,MOHAWK,0,0,2,-2,0,0
2020-10-02,2020-10-06,MORIAH,0,0,0,0,0,0
2020-10-02,2020-10-06,OGDENSBURG,130,0,169,-39,0,0
2020-10-02,2020-10-06,ORLEANS,0,0,0,0,0,0
2020-10-02,2020-10-06,OTISVILLE,0,0,0,0,0,0
2020-10-02,2020-10-06,QUEENSBORO,0,0,0,0,0,0
2020-10-02,2020-10-06,RIVERVIEW,221,0,199,22,0,0
2020-10-02,2020-10-06,ROCHESTER,0,0,0,0,0,0
2020-10-02,2020-10-06,SHAWANGUNK,0,0,0,0,0,0
2020-10-02,2020-10-06,SING SING,0,0,0,0,0,0
2020-10-02,2020-10-06,SOUTHPORT,0,0,0,0,0,0
2020-10-02,2020-10-06,SULLIVAN,0,0,0,0,0,0
2020-10-02,2020-10-06,TACONIC,0,0,0,0,0,0
2020-10-02,2020-10-06,ULSTER,0,0,0,0,0,0
2020-10-02,2020-10-06,UPSTATE,0,0,0,0,0,0
2020-10-02,2020-10-06,WALLKILL,0,0,0,0,0,0
2020-10-02,2020-10-06,WASHINGTON,0,0,0,0,0,0
2020-10-02,2020-10-06,WATERTOWN,138,0,131,7,0,0
2020-10-02,2020-10-06,WENDE,-1,0,-1,0,0,0
2020-10-02,2020-10-06,WILLARD,0,0,0,0,0,0
2020-10-02,2020-10-06,WOODBOURNE,0,0,-1,1,0,0
