DATE,FACILITY,TESTED,POSITIVE,NEGATIVE,PENDING,DECEASED,RECOVERED
2020-08-18,DOCCS,8518,755,7675,88,17,736
2020-08-18,ADIRONDACK,82,1,79,2,0,1
2020-08-18,ALBION,40,0,38,2,0,0
2020-08-18,ALTONA,36,0,36,0,0,0
2020-08-18,ATTICA,190,2,172,16,0,2
2020-08-18,AUBURN,128,0,123,5,0,0
2020-08-18,BARE HILL,88,0,86,2,0,0
2020-08-18,BEDFORD HILL,151,45,102,4,1,44
2020-08-18,CAPE VINCENT,33,0,33,0,0,0
2020-08-18,CAYUGA,104,0,103,1,0,0
2020-08-18,CLINTON,302,1,300,1,0,1
2020-08-18,COLLINS,101,1,100,0,0,1
2020-08-18,COXSACKIE,122,1,121,0,0,1
2020-08-18,DOWNSTATE,37,1,36,0,0,1
2020-08-18,EASTERN,156,24,132,0,1,23
2020-08-18,EDGECOMBE,3,0,3,0,0,0
2020-08-18,ELMIRA,183,0,183,0,0,0
2020-08-18,FISHKILL,1400,113,1286,1,5,107
2020-08-18,FIVE POINTS,128,0,124,4,0,0
2020-08-18,FRANKLIN,124,1,123,0,0,1
2020-08-18,GOUVERNEUR,70,0,70,0,0,0
2020-08-18,GOWANDA,126,1,124,1,0,1
2020-08-18,GREAT MEADOW,133,44,89,0,0,44
2020-08-18,GREEN HAVEN,1582,129,1453,0,3,126
2020-08-18,GREENE,127,1,125,1,0,1
2020-08-18,GROVELAND,76,0,76,0,0,0
2020-08-18,HALE CREEK,31,0,31,0,0,0
2020-08-18,HUDSON,26,0,26,0,0,0
2020-08-18,LAKEVIEW,1,0,1,0,0,0
2020-08-18,MARCY,161,8,152,1,0,8
2020-08-18,MIDSTATE,149,22,126,1,0,22
2020-08-18,MOHAWK,252,1,229,22,0,1
2020-08-18,MORIAH,0,0,0,0,0,0
2020-08-18,OGDENSBURG,18,0,18,0,0,0
2020-08-18,ORLEANS,58,0,56,2,0,0
2020-08-18,OTISVILLE,172,54,115,3,1,53
2020-08-18,QUEENSBORO,13,7,6,0,1,6
2020-08-18,RIVERVIEW,58,0,58,0,0,0
2020-08-18,ROCHESTER,0,0,0,0,0,0
2020-08-18,SHAWANGUNK,457,101,353,3,1,100
2020-08-18,SING SING,266,45,216,5,4,40
2020-08-18,SOUTHPORT,45,11,34,0,0,11
2020-08-18,SULLIVAN,125,25,94,6,0,25
2020-08-18,TACONIC,27,2,25,0,0,2
2020-08-18,ULSTER,111,15,96,0,0,15
2020-08-18,UPSTATE,30,0,29,1,0,0
2020-08-18,WALLKILL,449,69,380,0,0,69
2020-08-18,WASHINGTON,66,0,66,0,0,0
2020-08-18,WATERTOWN,34,0,34,0,0,0
2020-08-18,WENDE,192,30,162,0,0,30
2020-08-18,WILLARD,1,0,1,0,0,0
2020-08-18,WOODBOURNE,139,0,135,4,0,0
2020-08-18,WYOMING,115,0,115,0,0,0
2020-08-17,DOCCS,8519,755,7662,102,17,736
2020-08-17,ADIRONDACK,82,1,79,2,0,1
2020-08-17,ALBION,40,0,38,2,0,0
2020-08-17,ALTONA,36,0,36,0,0,0
2020-08-17,ATTICA,190,2,172,16,0,2
2020-08-17,AUBURN,128,0,123,5,0,0
2020-08-17,BARE HILL,88,0,86,2,0,0
2020-08-17,BEDFORD HILL,151,45,102,4,1,44
2020-08-17,CAPE VINCENT,33,0,33,0,0,0
2020-08-17,CAYUGA,104,0,103,1,0,0
2020-08-17,CLINTON,302,1,300,1,0,1
2020-08-17,COLLINS,101,1,100,0,0,1
2020-08-17,COXSACKIE,122,1,121,0,0,1
2020-08-17,DOWNSTATE,37,1,36,0,0,1
2020-08-17,EASTERN,156,24,127,5,1,23
2020-08-17,EDGECOMBE,3,0,3,0,0,0
2020-08-17,ELMIRA,183,0,183,0,0,0
2020-08-17,FISHKILL,1400,113,1286,1,5,107
2020-08-17,FIVE POINTS,128,0,124,4,0,0
2020-08-17,FRANKLIN,125,1,120,4,0,1
2020-08-17,GOUVERNEUR,70,0,70,0,0,0
2020-08-17,GOWANDA,126,1,121,4,0,1
2020-08-17,GREAT MEADOW,133,44,89,0,0,44
2020-08-17,GREEN HAVEN,1582,129,1451,2,3,126
2020-08-17,GREENE,127,1,125,1,0,1
2020-08-17,GROVELAND,76,0,76,0,0,0
2020-08-17,HALE CREEK,31,0,31,0,0,0
2020-08-17,HUDSON,26,0,26,0,0,0
2020-08-17,LAKEVIEW,1,0,1,0,0,0
2020-08-17,MARCY,161,8,152,1,0,8
2020-08-17,MIDSTATE,149,22,126,1,0,22
2020-08-17,MOHAWK,252,1,229,22,0,1
2020-08-17,MORIAH,0,0,0,0,0,0
2020-08-17,OGDENSBURG,18,0,18,0,0,0
2020-08-17,ORLEANS,58,0,56,2,0,0
2020-08-17,OTISVILLE,172,54,115,3,1,53
2020-08-17,QUEENSBORO,13,7,6,0,1,6
2020-08-17,RIVERVIEW,58,0,58,0,0,0
2020-08-17,ROCHESTER,0,0,0,0,0,0
2020-08-17,SHAWANGUNK,457,101,353,3,1,100
2020-08-17,SING SING,266,45,216,5,4,40
2020-08-17,SOUTHPORT,45,11,34,0,0,11
2020-08-17,SULLIVAN,125,25,94,6,0,25
2020-08-17,TACONIC,27,2,25,0,0,2
2020-08-17,ULSTER,111,15,96,0,0,15
2020-08-17,UPSTATE,30,0,29,1,0,0
2020-08-17,WALLKILL,449,69,380,0,0,69
2020-08-17,WASHINGTON,66,0,66,0,0,0
2020-08-17,WATERTOWN,34,0,34,0,0,0
2020-08-17,WENDE,192,30,162,0,0,30
2020-08-17,WILLARD,1,0,1,0,0,0
2020-08-17,WOODBOURNE,139,0,135,4,0,0
2020-08-17,WYOMING,115,0,115,0,0,0
2020-08-16,DOCCS,8513,755,7627,131,17,722
2020-08-16,ADIRONDACK,82,1,79,2,0,1
2020-08-16,ALBION,40,0,38,2,0,0
2020-08-16,ALTONA,36,0,36,0,0,0
2020-08-16,ATTICA,190,2,172,16,0,2
2020-08-16,AUBURN,128,0,124,4,0,0
